Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805",-94.059454,-86.915698,180.000000,bottom
"C2","0.1u","C_0805",-94.059454,-84.534446,0.000000,bottom
"C3","0.1u","C_0805",-94.059454,-71.437560,0.000000,bottom
"C4","0.1u","C_0805",-117.276661,-82.748507,180.000000,bottom
"C5","0.1u","C_0805",-117.276661,-75.604751,180.000000,bottom
"C6","4.7u","C_0805",-109.537592,-89.296950,180.000000,bottom
"D1","D","D_0805",-36.314093,-10.715634,90.000000,bottom
"D2","D","D_0805",-39.885971,-10.715634,90.000000,bottom
"D3","D","D_0805",-55.364109,-10.715634,90.000000,bottom
"D4","D","D_0805",-58.935987,-10.715634,90.000000,bottom
"D5","D","D_0805",-77.986003,-10.715634,90.000000,bottom
"D6","D","D_0805",-97.036019,-10.715634,90.000000,bottom
"D7","D","D_0805",-116.086035,-10.715634,90.000000,bottom
"D8","D","D_0805",-135.136051,-10.715634,90.000000,bottom
"D9","D","D_0805",-154.186067,-10.715634,90.000000,bottom
"D10","D","D_0805",-173.236083,-10.715634,90.000000,bottom
"D11","D","D_0805",-192.286099,-10.715634,90.000000,bottom
"D12","D","D_0805",-211.336115,-10.715634,90.000000,bottom
"D13","D","D_0805",-230.386131,-10.715634,90.000000,bottom
"D14","D","D_0805",-249.436147,-10.715634,90.000000,bottom
"D15","D","D_0805",-245.864269,-10.715634,90.000000,bottom
"D16","D","D_0805",-6.548443,-29.765650,90.000000,bottom
"D17","D","D_0805",-45.839101,-29.765650,90.000000,bottom
"D18","D","D_0805",-49.410979,-29.765650,90.000000,bottom
"D19","D","D_0805",-68.460995,-29.765650,90.000000,bottom
"D20","D","D_0805",-87.511011,-29.765650,90.000000,bottom
"D21","D","D_0805",-106.561027,-29.765650,90.000000,bottom
"D22","D","D_0805",-125.611043,-29.765650,90.000000,bottom
"D23","D","D_0805",-144.661059,-29.765650,90.000000,bottom
"D24","D","D_0805",-163.711075,-29.765650,90.000000,bottom
"D25","D","D_0805",-182.761091,-29.765650,90.000000,bottom
"D26","D","D_0805",-201.811107,-29.765650,90.000000,bottom
"D27","D","D_0805",-220.861123,-29.765650,90.000000,bottom
"D28","D","D_0805",-239.911139,-29.765650,90.000000,bottom
"D29","D","D_0805",-236.339261,-29.765650,90.000000,bottom
"D31","D","D_0805",-24.407833,-48.815666,90.000000,bottom
"D32","D","D_0805",-50.601605,-48.815666,90.000000,bottom
"D33","D","D_0805",-54.173483,-48.815666,90.000000,bottom
"D34","D","D_0805",-73.223499,-48.815666,90.000000,bottom
"D35","D","D_0805",-92.273515,-48.815666,90.000000,bottom
"D36","D","D_0805",-111.323531,-48.815666,90.000000,bottom
"D37","D","D_0805",-145.851685,-48.815666,90.000000,bottom
"D38","D","D_0805",-149.423563,-48.815666,90.000000,bottom
"D39","D","D_0805",-168.473579,-48.815666,90.000000,bottom
"D40","D","D_0805",-187.523595,-48.815666,90.000000,bottom
"D41","D","D_0805",-206.573611,-48.815666,90.000000,bottom
"D42","D","D_0805",-225.623627,-48.815666,90.000000,bottom
